id,store_location,store_name,carmodel,part,keywords
1,Mombasa,Auto Spares Mombasa,Rav 4,A Pillar,Mombasa
2,Mombasa,Auto Spares Mombasa,Rav 4,A/C Compressor,Mombasa
3,Mombasa,Auto Spares Mombasa,Rav 4,A/C Condenser,Mombasa
4,Mombasa,Auto Spares Mombasa,Rav 4,A/C Condenser Fan,Mombasa
5,Mombasa,Auto Spares Mombasa,Rav 4,A/C Control Computer,Mombasa
6,Mombasa,Auto Spares Mombasa,Rav 4,A/C Evaporator,Mombasa
7,Mombasa,Auto Spares Mombasa,Rav 4,A/C Heater Control,Mombasa
8,Mombasa,Auto Spares Mombasa,Rav 4,A/C Hose,Mombasa
9,Mombasa,Auto Spares Mombasa,Rav 4,Accelerator Parts,Mombasa
10,Mombasa,Auto Spares Mombasa,Rav 4,Adaptive Cruise Projector,Mombasa
11,Mombasa,Auto Spares Mombasa,Rav 4,Air bag,Mombasa
12,Mombasa,Auto Spares Mombasa,Rav 4,Air bag Clockspring,Mombasa
13,Mombasa,Auto Spares Mombasa,Rav 4,Air bag Ctrl Module,Mombasa
14,Mombasa,Auto Spares Mombasa,Rav 4,Air Box Cleaner,Mombasa
15,Mombasa,Auto Spares Mombasa,Rav 4,Air Pump,Mombasa
16,Mombasa,Auto Spares Mombasa,Rav 4,Air Tube/ Resonator,Mombasa
17,Mombasa,Auto Spares Mombasa,Rav 4,Alternator,Mombasa
18,Mombasa,Auto Spares Mombasa,Rav 4,Amplifier/Radio,Mombasa
19,Mombasa,Auto Spares Mombasa,Rav 4,Antenna,Mombasa
20,Mombasa,Auto Spares Mombasa,Rav 4,AntiLock Brake Pump,Mombasa
21,Mombasa,Auto Spares Mombasa,Rav 4,AntiLock Brake Computer,Mombasa
22,Mombasa,Auto Spares Mombasa,Rav 4,Armrest,Mombasa
23,Mombasa,Auto Spares Mombasa,Rav 4,Ash Tray/Lighter ,Mombasa
24,Mombasa,Auto Spares Mombasa,Rav 4,Audiovisual,Mombasa
25,Mombasa,Auto Spares Mombasa,Rav 4,Axle Assy Rear,Mombasa
26,Mombasa,Auto Spares Mombasa,Rav 4,Axle Assy Front,Mombasa
27,Mombasa,Auto Spares Mombasa,Rav 4,Axle Beam Rear,Mombasa
28,Mombasa,Auto Spares Mombasa,Rav 4,Axle Beam Front,Mombasa
29,Mombasa,Auto Spares Mombasa,Rav 4,Axle Flange,Mombasa
30,Mombasa,Auto Spares Mombasa,Rav 4,Axle Housing,Mombasa
31,Mombasa,Auto Spares Mombasa,Rav 4,Axle Shaft,Mombasa
32,Mombasa,Auto Spares Mombasa,Rav 4,Back Door,Mombasa
33,Mombasa,Auto Spares Mombasa,Rav 4,Back Door Glass,Mombasa
34,Mombasa,Auto Spares Mombasa,Rav 4,Back Door Handle,Mombasa
35,Mombasa,Auto Spares Mombasa,Rav 4,Back Door Hinge,Mombasa
36,Mombasa,Auto Spares Mombasa,Rav 4,Back Door Moulding,Mombasa
37,Mombasa,Auto Spares Mombasa,Rav 4,Back Door Trim Panel,Mombasa
38,Mombasa,Auto Spares Mombasa,Rav 4,Back Glass,Mombasa
39,Mombasa,Auto Spares Mombasa,Rav 4,Back Glass Regulator Plate,Mombasa
40,Mombasa,Auto Spares Mombasa,Rav 4,Backing Plate Front,Mombasa
41,Mombasa,Auto Spares Mombasa,Rav 4,Backing Plate Rear,Mombasa
42,Mombasa,Auto Spares Mombasa,Rav 4,Backup Light,Mombasa
