id,title,description,keywords,length,chosen
1,"""Planned Parenthood"" for elephants in South Africa ",Researcher in South Africa studies alternative means of elephant population control,South Africa ,2 mins,:incorrect_result
2,2010 Fifa World cup: South Africa ,The best moments of the 2010 world cup hosted by South Africa,South Africa ,136 mins,:incorrect_result
3,21 Up South Africa: Mandella's Children,Follow up Documentary form 7 Up South Africa. Now the interviewees have grown to be 21 years old.,South Africa ,82 mins,:incorrect_result
4,7 Up South Africa ,Documentary interviewing children at age seven in South Africa. ,South Africa ,83 mins,:incorrect_result
5,"80,000 suspects",Film: Nurse Julie (Claire Bloom) is on the emergency smallpox vaccine team when her doctor husband Steve (Richard Johnson) visits…,immunisation vaccine vaccination immunization imunisation imunization,93 mins,:incorrect_result
6,A chance to live 1,A two-part documentary focusing on the men and women who have established a global immunization plan to save children from...,immunisation vaccine vaccination immunization imunisation imunization africa ,60 mins,:incorrect_result
7,A chance to live 2,A two-part documentary focusing on the men and women who have established a global immunization plan to save children from...,immunisation vaccine vaccination immunization imunisation imunization africa,60 mins,:incorrect_result
8,A commentary to an appeal for Mercy,Real life story of an official whose immunity was summarily dropped so he could be imprisoned for ten years.,immunisation vaccine vaccination immunization imunisation imunization,140 mins,:incorrect_result
9,Advances in Childhood immunisations,Research about the most effective immunisations in Sub Saharan Africa,immunisation vaccine vaccination immunization imunisation imunization South Africa,30 mins,:incorrect_result
10,Africa Business Report 1: South Africa World Cup Boom ,The impact of the World Cup on Business ,South Africa ,30 mins,:incorrect_result
11,Africa Business Report 16: South Africa World Cup Special,South African World Cup special,South Africa ,30 mins,:incorrect_result
12,After Immunisations,What are the most important vaccinations for a child to have? As many African countries look at improving their vaccinations this documentary,immunisation vaccine vaccination immunization imunisation imunization South Africa,20 mins,:incorrect_result
13,Alcohol and Its Victims,Documentary exploring if there is a link between alcohol abuse and the incidence of TB.,TB Tuberculosis ,55 mins,:incorrect_result
14,An Introduction to Microbiology and Immunology ,Medical training video,immunisation vaccine vaccination immunization imunisation imunization,60 mins,:incorrect_result
15,Angelique Kidjo highlights HIV in South Africa,"With the football fever gripping the globe, UNICEF Goodwill Ambassador Angelique Kidjo uses this moment to highlight…",South Africa ,3 mins,:incorrect_result
16,Around the World in 21 days,A Londoner's journey to South Africa,South Africa ,52 mins,:incorrect_result
17,Australian Childhood Vaccinations,Documentary about the national register that records vaccinations given to children under the age of 7,immunisation vaccine vaccination immunization imunisation imunization,60 mins,:incorrect_result
18,Basic Immunology: The nuts and Bolts of the Immune system,UCTV presents: Basic immunology looking at cells in the immune system.,immunisation vaccine vaccination immunization imunisation imunization,60 mins,:incorrect_result
19,Beyond Rangoon,"Film: Travelling through Asia with her sister, she is virtually immune to the charms, and challenges, of this beautiful but beleaguered",immunisation vaccine vaccination immunization imunisation imunization,100 mins,:incorrect_result
20,Big Brother South Africa,TV Series,South Africa ,210 mins,:incorrect_result
21,Blacks Without Borders: Chasing the American Dream in South Africa,This film plunges into the lives of a group of African Americans who have come to South Africa to find the American dream.,South Africa ,70 mins,:incorrect_result
22,Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",South Africa ,143 mins,:incorrect_result
23,Body Parts,The tens of thousands lucky enough to receive transplants face years of immune suppressant drugs which compromise their health...,immunisation vaccine vaccination immunization imunisation imunization,120 mins,:incorrect_result
24,Braemar Castle Leaving for South Africa,Classic short from 1899,South Africa ,4 mins,:incorrect_result
25,Business Report Special: South Africa,The state of business in South Africa Today,South Africa ,30 mins,:incorrect_result
